company,title,publish_date,content,summary,url,source,scraped_at
Schloss Bangalore Limited,"A ₹10,000 crore bet on India's hotels: Investors pile in and mergers and acquisitions follow as sector scales up",2025-06-14T01:00:09Z,"What were seeing now is not just expansion its a recalibration of the sector,"" Nikhil Sharma, managing director and COO South Asia, Radisson Hotel Group, told Mint.
Consolidation and capitalisation,… [+5417 chars]","India's hospitality sector is experiencing a transformation with over  ₹10,000 crore invested in hotel companies since 2023. This surge in IPOs, mergers, and fund-raising signals investor confidence, while new management companies target smaller cities to tap…",https://www.livemint.com/companies/news/rs-10-000-crore-bet-india-hotels-mergers-and-acquisitions-sector-scales-up-11749788703196.html,Livemint,2025-06-19T16:00:57.731724
Schloss Bangalore Limited,How India’s Aviation Clout Is Growing on the Back of Its Aspiring Travelers,2025-06-04T03:00:00Z,"This week, India was listed as the third-largest global aviation market by the International Air Transport Association (IATA). 
In his speech at the IATA annual general meeting on Monday, Indian Pri… [+8804 chars]",India's regional air connectivity is playing catch-up with the demand of its aspirational travelers. And this is set to drive growth in India's aviation industry over the next few years.,http://skift.com/2025/06/03/how-indias-aviation-clout-is-growing-on-the-back-of-its-aspiring-travelers/,Skift,2025-06-19T16:00:57.731737
Schloss Bangalore Limited,"Q4 Results Highlights: Bajaj Auto Q4 net drops 10% to ₹1,801 crore, ICRA Q4 profit up, Ola Electric Q4 loss widens, Suzlon Q4 profit at ₹1,182 cr, Mazagon Dock, NBCC, Lemon Tree Hotels, SJVN to announce Q4 results today, Dee Development, Welspun Corp & Cummins India shares zoom",2025-05-29T03:44:01Z,"Q4 Results Today May 29, 2025, updates: Find all the latest Q4 results 2025 updates for Bajaj Auto, Suzlon Energy, Prestige Estates Projects, Alkem Laboratories, SJVN, NBCC (India), Jubilant Agri and… [+46718 chars]","Q4 Results 29th May, 2025 updates: Find all the latest Q4 results 2025 updates for Bajaj Auto, Suzlon Energy, Prestige Estates Projects, Alkem Laboratories, SJVN, NBCC (India), Jubilant Agri and Consumer Products, Welspun Living, Lemon Tree Hotels, ICRA, Coff…",https://www.thehindubusinessline.com/markets/stock-markets/q4-results-highlights-bajaj-auto-suzlon-energy-prestige-estates-alkem-laboratories-nbcc-lemon-tree-hotels-irctc-sail-natco-granules-bata-jsw-29-may-2025/article69628964.ece,BusinessLine,2025-06-19T16:00:57.731740
Schloss Bangalore Limited,"The Leela IPO allotment to be finalised today: How to check status, GMP and listing details",2025-05-29T02:23:13Z,"Investors who applied for the much-anticipated Rs 3,500 crore initial public offering (IPO) of Schloss Bangalore, the parent company behind The Leela Palaces, Hotels and Resorts, will know their allo… [+2134 chars]","Investors who participated in the Rs 3,500 crore Schloss Bangalore IPO, the parent company of The Leela Palaces, Hotels and Resorts, will receive their allotment status today. The IPO, subscribed 2.62 times overall, saw strong interest from QIBs but a lukewar…",https://economictimes.indiatimes.com/markets/ipos/fpos/the-leela-ipo-allotment-to-be-finalised-today-how-to-check-status-gmp-and-listing-details/articleshow/121477377.cms,The Times of India,2025-06-19T16:00:57.731742
Schloss Bangalore Limited,"The Leela IPO cruises through on final day of bidding, QIBs drive highest subscription. Check details",2025-05-28T08:35:39Z,"The initial public offering (IPO) of Schloss Bangalore Limited, the operator of The Leela Palaces, Hotels &amp; Resorts, sailed through on the final day of the issue with a subscription of 1.35 times… [+3375 chars]","The Leela IPO: The initial public offering (IPO) of Schloss Bangalore Limited, the operator of The Leela Palaces, Hotels & Resorts, sailed through on the final day of the issue with a subscription of 1.35 times.",https://economictimes.indiatimes.com/markets/ipos/fpos/the-leela-ipo-cruises-through-on-final-day-of-bidding-qibs-drive-highest-subscription-check-details/articleshow/121460321.cms,The Times of India,2025-06-19T16:00:57.731743
Aegis Vopak Terminals Limited,AVTL successfully completed IPO,2025-06-02T05:00:00Z,"AVTL successfully completed IPO
Rotterdam, the Netherlands, 02 June 2025
Today, we announce an update regarding the primary equity issue of our joint venture AVTL.
AVTL has successfully completed … [+3115 chars]","AVTL successfully completed IPORotterdam, the Netherlands, 02 June 2025 Today, we announce an update regarding the primary equity issue of our joint venture AVTL.AVTL has successfully completed its IPO. The issue price for the IPO was INR 235 per share which …",https://www.globenewswire.com/news-release/2025/06/02/3091531/0/en/AVTL-successfully-completed-IPO.html,GlobeNewswire,2025-06-19T16:01:04.744121
Aegis Vopak Terminals Limited,"Aegis Vopak Terminals IPO: ऐसे चेक करें अलॉटमेंट स्टेटस, जानिए लेटेस्ट GMP",2025-05-29T14:00:32Z,"Aegis Vopak Terminals IPO: 2,800 IPO 2.09 2 BSE NSE NSE , 2,800 6.90 14.43 1,260 
, ( MUFG Intime India) BSE NSE 
1: URL   : https://linkintime.co.in/initial_offer/
 2: ( 'Aegis Vopak Terminals' )… [+140 chars]","Aegis Vopak Terminals IPO: एजिस वोपाक टर्मिनल्स के आईपीओ का अलॉटमेंट आज होने वाला है। ₹2,800 करोड़ का यह IPO अपने सब्सक्रिप्शन के अंतिम दिन बुधवार को 2.09 गुना सब्सक्राइब हुआ था। कंपनी के शेयर 2 जून को BSE और NSE पर लिस्ट होंगे। NSE के आंकड़ों के अनुसार, एजिस…",https://hindi.moneycontrol.com/news/ipo/aegis-vopak-terminals-ipo-check-allotment-status-like-this-know-the-latest-gmp-1981612.html,Moneycontrol,2025-06-19T16:01:04.744165
Aegis Vopak Terminals Limited,"Q4 Results Highlights: Bajaj Auto Q4 net drops 10% to ₹1,801 crore, ICRA Q4 profit up, Ola Electric Q4 loss widens, Suzlon Q4 profit at ₹1,182 cr, Mazagon Dock, NBCC, Lemon Tree Hotels, SJVN to announce Q4 results today, Dee Development, Welspun Corp & Cummins India shares zoom",2025-05-29T03:44:01Z,"Q4 Results Today May 29, 2025, updates: Find all the latest Q4 results 2025 updates for Bajaj Auto, Suzlon Energy, Prestige Estates Projects, Alkem Laboratories, SJVN, NBCC (India), Jubilant Agri and… [+46718 chars]","Q4 Results 29th May, 2025 updates: Find all the latest Q4 results 2025 updates for Bajaj Auto, Suzlon Energy, Prestige Estates Projects, Alkem Laboratories, SJVN, NBCC (India), Jubilant Agri and Consumer Products, Welspun Living, Lemon Tree Hotels, ICRA, Coff…",https://www.thehindubusinessline.com/markets/stock-markets/q4-results-highlights-bajaj-auto-suzlon-energy-prestige-estates-alkem-laboratories-nbcc-lemon-tree-hotels-irctc-sail-natco-granules-bata-jsw-29-may-2025/article69628964.ece,BusinessLine,2025-06-19T16:01:04.744174
Aegis Vopak Terminals Limited,"Aegis Vopak Terminals IPO Day 3: Subscription status, GMP trends, price band to review — Should you apply?",2025-05-28T10:05:51Z,"Aegis Vopak Terminals initial public offering was fully subscribed on the final day of bidding, with the overall subscription reaching 1.6 times as of 2:44 PM on Wednesday, May 28.Qualified instituti… [+2919 chars]","Aegis Vopak Terminals’ ₹2,800 crore IPO was subscribed 1.6 times on final day, led by QIBs. Grey market premium dipped to ₹1, signaling flat listing gains.",https://economictimes.indiatimes.com/markets/ipos/fpos/aegis-vopak-terminals-ipo-day-3-subscription-status-gmp-trends-price-band-to-review-should-you-apply/articleshow/121462647.cms,The Times of India,2025-06-19T16:01:04.744182
Aegis Vopak Terminals Limited,"IPO News Live: Last date to subcribe to Leela Hotels & Aegis Vopak IPO, Prostarm Info Systems & ASTONEA LABS enters day 2, Scoda Tube IPO opens for subscription",2025-05-28T04:37:00Z,"IPO News Live, Leela Hotels IPO (Schloss Bangalore IPO), Aegis Vopak Terminals IPO, Prostarm Info Systems IPO, ASTONEA LABS IPO, Scoda Tube IPO GMP Live Updates: Key highlights | Track live updates o… [+6684 chars]","IPO News Live, Leela Hotels IPO (Schloss Bangalore), Aegis Vopak Terminals IPO, Prostarm Info Systems IPO, ASTONEA LABS IPO, Scoda Tube IPO GMP Live Updates:  Key highlights | Track live updates on IPOs here  Last day to subscribe  Brookfield Asset Management…",https://www.thehindubusinessline.com/markets/leela-palaces-hotels-ipo-aegis-vopak-terminals-ipo-prostarm-info-systems-ipo-astonea-labs-ipo-scoda-tubes-ipo-live-updates/article69627888.ece,BusinessLine,2025-06-19T16:01:04.744189
